actor_id,actor_gender,actor_age_group,actor_avg_films_score,actor_avg_comments_sum,actor_award_sum,actor_film_sum,actor_multi_career,actor_birthplace_faction,actor_horoscope_code,actor_film_avg_five_star,actor_film_avg_four_star,actor_film_avg_three_star,actor_film_avg_two_star,actor_film_avg_one_star,actor_international,actor_film_type_sum,type_feature,type_romance,type_action,type_science,type_adventure,type_suspense,type_comedy,type_thriller,type_biography,type_cartoon,type_family,type_fantasy,type_sowordsmen,type_disaster,type_dance,type_history,type_music,type_short,type_children,type_opera,type_crime,type_war,type_western,type_sport,type_reality,type_documentary,type_talkshow,type_costume,type_horror,type_blue,type_samesex,type_no
1276150,男,after_90s,6.12059,49532,0,34,0,south,type_10,0.18714705882352942,0.20711764705882355,0.27482352941176474,0.14323529411764707,0.1876176470588235,0,15,0.35294117647058826,0.17647058823529413,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.0,0.0,0.0,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.029411764705882353,0.0,0.0,0.0,0.29411764705882354,0.029411764705882353,0.0,0.2647058823529412,0.0,0.0,0.0,0.0
1274223,男,after_90s,5.71273,24261,0,55,1,north,type_2,0.15443636363636365,0.18849090909090915,0.2607090909090908,0.15281818181818177,0.24352727272727265,0,23,0.4727272727272727,0.14545454545454545,0.14545454545454545,0.01818181818181818,0.05454545454545454,0.05454545454545454,0.36363636363636365,0.01818181818181818,0.05454545454545454,0.01818181818181818,0.14545454545454545,0.03636363636363636,0.01818181818181818,0.0,0.03636363636363636,0.05454545454545454,0.01818181818181818,0.07272727272727272,0.14545454545454545,0.0,0.07272727272727272,0.09090909090909091,0.0,0.03636363636363636,0.10909090909090909,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0
1336305,男,after_90s,6.7,140833,5,29,1,north,type_7,0.2390689655172414,0.24796551724137927,0.27020689655172425,0.11437931034482761,0.12824137931034485,1,16,0.2413793103448276,0.1724137931034483,0.10344827586206896,0.0,0.034482758620689655,0.1724137931034483,0.13793103448275862,0.034482758620689655,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.27586206896551724,0.0,0.034482758620689655,0.10344827586206896,0.0,0.0,0.0,0.034482758620689655
1340022,男,after_90s,7.70444,64556,3,45,1,south,type_9,0.41575555555555543,0.2579111111111111,0.1796888888888889,0.05642222222222222,0.09028888888888886,0,22,0.24444444444444444,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.0,0.044444444444444446,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.022222222222222223,0.0,0.15555555555555556,0.022222222222222223,0.044444444444444446,0.1111111111111111,0.044444444444444446,0.0,0.044444444444444446,0.0,0.0,0.08888888888888889,0.4222222222222222,0.08888888888888889,0.08888888888888889,0.06666666666666667,0.0,0.0,0.0,0.022222222222222223
1276105,男,after_80s,6.56744,64146,6,43,0,north,type_12,0.19404651162790698,0.25402325581395346,0.30974418604651177,0.12983720930232562,0.11239534883720934,1,20,0.5348837209302325,0.2558139534883721,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.06976744186046512,0.09302325581395349,0.0,0.046511627906976744,0.0,0.046511627906976744,0.09302325581395349,0.0,0.0,0.0,0.046511627906976744,0.023255813953488372,0.06976744186046512,0.0,0.0,0.023255813953488372,0.046511627906976744,0.0,0.0,0.13953488372093023,0.023255813953488372,0.023255813953488372,0.11627906976744186,0.023255813953488372,0.0,0.0,0.0
1274388,男,after_80s,5.5359,137271,10,39,1,north,type_2,0.0860769230769231,0.20769230769230773,0.30266666666666664,0.19315384615384612,0.2102564102564103,1,15,0.3333333333333333,0.15384615384615385,0.28205128205128205,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.5641025641025641,0.10256410256410256,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564
1013782,男,after_80s,6.52157,99492,15,51,0,south,type_1,0.13131372549019607,0.26388235294117646,0.3995294117647059,0.146,0.05933333333333333,1,19,0.5294117647058824,0.43137254901960786,0.23529411764705882,0.0196078431372549,0.0392156862745098,0.0,0.19607843137254902,0.0196078431372549,0.0,0.0,0.0,0.09803921568627451,0.09803921568627451,0.0,0.0,0.0196078431372549,0.0,0.0392156862745098,0.0,0.0,0.0784313725490196,0.0196078431372549,0.0,0.0784313725490196,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.0,0.0,0.0,0.0784313725490196
1000572,男,after_70s,6.65802,35412,14,81,1,north,type_1,0.1745679012345679,0.26788888888888895,0.34970370370370374,0.12658024691358022,0.08135802469135806,1,22,0.5802469135802469,0.2839506172839506,0.12345679012345678,0.0,0.0,0.037037037037037035,0.04938271604938271,0.0,0.012345679012345678,0.024691358024691357,0.07407407407407407,0.012345679012345678,0.0,0.0,0.024691358024691357,0.07407407407407407,0.012345679012345678,0.06172839506172839,0.012345679012345678,0.0,0.06172839506172839,0.07407407407407407,0.0,0.0,0.13580246913580246,0.037037037037037035,0.06172839506172839,0.04938271604938271,0.012345679012345678,0.0,0.012345679012345678,0.0
1000525,男,after_70s,6.36316,96163,9,57,1,north,type_1,0.13098245614035087,0.24224561403508774,0.3931403508771932,0.14678947368421058,0.08684210526315791,1,18,0.40350877192982454,0.15789473684210525,0.40350877192982454,0.05263157894736842,0.07017543859649122,0.0,0.19298245614035087,0.05263157894736842,0.0,0.0,0.0,0.12280701754385964,0.10526315789473684,0.017543859649122806,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.14035087719298245,0.05263157894736842,0.017543859649122806,0.0,0.10526315789473684,0.0,0.017543859649122806,0.2982456140350877,0.0,0.0,0.0,0.03508771929824561
1041404,男,after_70s,6.08736,58622,17,87,1,north,type_8,0.13925287356321836,0.22445977011494253,0.3226896551724136,0.16928735632183906,0.14434482758620693,1,25,0.41379310344827586,0.2413793103448276,0.19540229885057472,0.0,0.034482758620689655,0.011494252873563218,0.16091954022988506,0.04597701149425287,0.022988505747126436,0.0,0.011494252873563218,0.05747126436781609,0.08045977011494253,0.022988505747126436,0.011494252873563218,0.08045977011494253,0.011494252873563218,0.011494252873563218,0.0,0.0,0.05747126436781609,0.06896551724137931,0.011494252873563218,0.011494252873563218,0.16091954022988506,0.022988505747126436,0.04597701149425287,0.26436781609195403,0.0,0.0,0.0,0.034482758620689655
